Receiving time        Device NO        AccelerationX        AccelerationY        AccelerationZ        Angular VelocityX        Angular VelocityY        Angular VelocityZ        AngleX        AngleY        AngleZ        Magnetic FieldX        Magnetic FieldY        Magnetic FieldZ        Temperature        Electric Quantity        Signal        Versions
 2022-05-07 13:13:09.493        WT5300004344        1.265        0.762        0.287        15.380        79.162        -109.619        118.536        -67.758        -107.605        -515        330        -17        36.41        3.94        -81        13006
 2022-05-07 13:13:09.506        WT5300004357        -0.924        -1.260        0.149        -14.526        -32.104        -125.488        -98.250        58.617        140.020        575        -212        -670        38.76        3.98        -75        13006
 2022-05-07 13:13:09.532        WT5300004408        -1.659        0.164        -0.526        183.288        188.354        17.883        -165.591        84.715        112.467        415        80        -237        34.92        3.99        -66        13006
 2022-05-07 13:13:09.536        WT5300004331        -1.096        0.362        -0.111        -36.499        1.342        -148.925        121.431        64.813        50.839        419        -36        -270        39.54        3.95        -76        13006
 2022-05-07 13:13:09.554        WT5300004315        -0.915        -0.260        -0.209        -140.258        -69.274        -2.746        -102.606        64.440        -167.277        202        349        -469        36.97        3.89        -74        13006
 2022-05-07 13:13:09.578        WT5300004430        -1.007        0.140        -0.083        -26.611        -4.394        -147.277        71.889        86.885        124.892        334        60        97        36.43        4.01        -66        13006
 2022-05-07 13:13:09.591        WT5300004344        1.749        0.614        0.098        -42.175        157.409        -140.563        86.473        -56.848        -74.509        -567        244        -73        36.40        3.94        -81        13006
 2022-05-07 13:13:09.617        WT5300004357        -1.509        -1.214        0.172        7.019        -49.438        -225.158        -91.203        40.588        149.342        561        -97        -688        38.77        3.98        -75        13006
 2022-05-07 13:13:09.632        WT5300004408        -0.606        -0.325        -0.099        102.417        52.124        14.953        -165.322        73.119        92.395        406        88        -198        34.93        3.99        -64        13006
 2022-05-07 13:13:09.635        WT5300004331        -1.255        0.468        -0.218        -21.057        -21.240        -150.329        144.332        76.267        78.744        374        46        -261        39.48        3.95        -76        13006
 2022-05-07 13:13:09.654        WT5300004315        -0.739        -0.536        -0.049        41.625        39.794        -12.145        -102.628        62.534        -169.046        188        351        -475        36.97        3.89        -74        13006
 2022-05-07 13:13:09.693        WT5300004430        -0.796        0.369        -0.194        2.746        -31.066        -113.647        -76.975        80.260        -24.867        307        148        93        36.44        4.01        -66        13006
 2022-05-07 13:13:09.704        WT5300004357        -1.191        -0.783        0.152        -4.455        -37.414        -212.280        -89.631        20.533        155.039        477        38        -708        38.76        3.98        -76        13006
 2022-05-07 13:13:09.704        WT5300004344        1.387        0.325        0.052        -15.869        144.531        -115.844        71.246        -42.132        -55.382        -575        140        -167        36.41        3.94        -81        13006
 2022-05-07 13:13:09.732        WT5300004408        -0.538        -0.479        -0.173        -17.822        -39.184        21.728        -169.129        71.976        87.725        408        74        -188        34.92        3.99        -64        13006
 2022-05-07 13:13:09.737        WT5300004331        -0.749        0.554        -0.251        -18.859        -40.954        -75.744        -163.883        81.925        133.802        329        110        -270        39.55        3.95        -76        13006
 2022-05-07 13:13:09.753        WT5300004315        -0.837        -0.406        -0.200        -0.183        -3.173        5.981        -103.474        62.297        -169.387        188        351        -477        36.97        3.90        -74        13006
 2022-05-07 13:13:09.779        WT5300004430        -0.645        0.275        -0.250        2.380        -53.955        -49.438        -72.740        73.712        -21.461        288        202        78        36.42        4.01        -67        13006
 2022-05-07 13:13:09.793        WT5300004344        0.963        -0.009        -0.253        -25.695        83.923        -41.381        61.787        -33.211        -44.132        -535        90        -257        36.38        3.94        -80        13006
 2022-05-07 13:13:09.797        WT5300004357        -1.124        -0.154        0.028        0.915        -34.423        -85.205        -86.863        8.234        158.851        372        107        -730        38.80        3.98        -76        13006
 2022-05-07 13:13:09.837        WT5300004331        -0.745        0.671        -0.254        0.122        -4.211        -8.911        -142.811        82.655        156.066        310        142        -283        39.55        3.95        -78        13006
 2022-05-07 13:13:09.831        WT5300004408        -0.688        -0.259        -0.160        -157.653        -94.604        -17.761        -164.943        78.200        99.327        416        66        -214        34.92        3.99        -64        13006
 2022-05-07 13:13:09.854        WT5300004315        -0.852        -0.539        -0.254        -8.605        -4.089        4.028        -103.546        62.666        -169.129        188        350        -479        36.96        3.90        -74        13006
 2022-05-07 13:13:09.898        WT5300004344        1.026        0.092        -0.133        -5.615        -56.640        47.119        63.638        -36.771        -42.973        -518        88        -281        36.38        3.94        -77        13006
 2022-05-07 13:13:09.899        WT5300004357        -1.062        -0.391        0.074        -8.178        18.737        81.970        -89.016        12.546        161.048        336        125        -733        38.78        3.98        -76        13006
 2022-05-07 13:13:09.898        WT5300004430        -0.633        0.489        -0.218        -6.958        0.122        27.954        -61.270        76.041        -13.513        288        217        62        36.44        4.01        -67        13006
 2022-05-07 13:13:09.930        WT5300004408        -1.278        0.258        0.329        2.197        -67.260        -21.423        -103.062        85.187        176.852        416        76        -252        34.92        3.99        -64        13006
 2022-05-07 13:13:09.939        WT5300004331        -0.937        0.618        -0.202        32.958        10.864        107.788        160.224        82.551        97.827        321        137        -290        39.52        3.95        -79        13006
 2022-05-07 13:13:09.954        WT5300004315        -0.906        -0.499        -0.133        52.551        49.377        17.700        -105.166        62.655        -173.248        196        344        -481        36.95        3.90        -73        13006
 2022-05-07 13:13:09.980        WT5300004430        -1.004        0.393        -0.176        23.681        3.051        136.108        -8.723        83.386        36.359        314        182        58        36.43        4.01        -67        13006
 2022-05-07 13:13:09.993        WT5300004344        1.380        0.290        -0.110        20.751        -157.104        114.196        73.130        -50.833        -51.877        -543        133        -229        36.42        3.94        -77        13006
 2022-05-07 13:13:10.008        WT5300004357        -1.312        -0.812        -0.012        -12.878        52.368        210.266        -91.922        29.492        158.318        399        92        -723        38.79        3.98        -76        13006
 2022-05-07 13:13:10.033        WT5300004408        -0.925        -0.114        0.227        -50.354        -31.372        0.244        -51.866        84.391        -126.062        411        83        -282        34.93        3.99        -65        13006
 2022-05-07 13:13:10.036        WT5300004331        -1.206        0.526        -0.082        49.865        13.061        175.476        118.240        69.724        51.289        373        85        -298        39.55        3.95        -79        13006
 2022-05-07 13:13:10.055        WT5300004315        -1.219        -0.290        -0.241        -32.592        110.412        51.879        -120.800        64.215        173.979        227        342        -449        36.99        3.90        -73        13006
 2022-05-07 13:13:10.079        WT5300004430        -1.138        0.262        0.035        53.283        -20.751        189.941        69.669        72.625        110.319        354        94        49        36.41        4.01        -68        13006
 2022-05-07 13:13:10.100        WT5300004357        -1.293        -1.292        0.044        14.587        88.745        278.442        -101.870        54.547        144.426        517        -27        -694        38.78        3.98        -76        13006
 2022-05-07 13:13:10.105        WT5300004344        1.604        0.565        0.081        -11.779        -228.393        164.062        109.874        -67.044        -93.059        -559        232        -113        36.40        3.94        -76        13006
 2022-05-07 13:13:10.137        WT5300004331        -1.476        0.447        -0.144        58.593        -21.301        180.786        108.138        53.756        32.948        436        -14        -321        39.57        3.95        -80        13006
 2022-05-07 13:13:10.131        WT5300004408        -0.786        0.215        -0.066        -9.826        2.014        29.296        -25.806        85.067        -101.079        411        75        -299        34.92        3.99        -65        13006
 2022-05-07 13:13:10.161        WT5300004315        -0.735        -0.268        -0.159        -154.113        63.842        4.699        -157.977        55.695        154.489        264        353        -296        36.99        3.90        -73        13006
 2022-05-07 13:13:10.180        WT5300004430        -1.237        0.154        -0.063        46.325        6.164        129.882        81.611        56.579        117.136        370        -27        35        36.45        4.01        -68        13006
 2022-05-07 13:13:10.204        WT5300004357        -0.902        -1.461        -0.112        -18.554        -10.131        193.603        -129.155        74.338        114.285        567        -195        -667        38.81        3.98        -76        13006
 2022-05-07 13:13:10.212        WT5300004344        1.515        0.849        0.124        51.879        -139.282        144.653        165.624        -63.885        -152.259        -503        343        -5        36.43        3.94        -76        13006
 2022-05-07 13:13:10.233        WT5300004408        -0.862        -0.037        0.132        -2.136        1.892        5.065        -10.041        85.957        -86.121        414        62        -299        34.92        3.99        -64        13006
 2022-05-07 13:13:10.238        WT5300004331        -0.946        0.360        0.098        25.268        45.837        120.056        108.825        41.275        28.048        468        -125        -325        39.55        3.95        -80        13006
 2022-05-07 13:13:10.256        WT5300004315        -0.537        0.103        -0.237        -17.272        -15.441        -1.098        -161.141        52.855        153.061        266        356        -229        37.01        3.90        -73        13006
 2022-05-07 13:13:10.281        WT5300004430        -0.963        -0.140        0.213        2.624        38.391        103.088        87.187        45.972        125.568        350        -126        50        36.43        4.01        -68        13006
 2022-05-07 13:13:10.299        WT5300004344        0.920        0.895        0.192        -37.475        -19.775        49.926        -179.549        -59.584        -171.084        -437        411        30        36.41        3.94        -76        13006
 2022-05-07 13:13:10.308        WT5300004357        -0.530        -1.117        -0.145        66.345        19.470        47.973        -163.075        79.249        73.734        553        -310        -663        38.80        3.98        -77        13006
 2022-05-07 13:13:10.332        WT5300004408        -0.870        0.019        0.060        -2.319        -10.864        -11.840        -14.166        85.155        -89.846        414        63        -303        34.92        3.99        -64        13006
 2022-05-07 13:13:10.335        WT5300004331        -0.814        0.165        0.023        21.301        -1.708        41.259        109.456        34.661        25.949        463        -209        -307        39.57        3.95        -76        13006
 2022-05-07 13:13:10.355        WT5300004315        -0.688        -0.152        -0.288        123.107        -70.190        15.258        -152.369        58.079        154.874        269        355        -273        36.99        3.90        -73        13006
